13761,Glen Feemster,54,47,97,31,66,99,83,6J,46,4X
13743,Verdie Rodriguz,98,62,53,49,35,57,T9,31,93,30
18327,Karie Mccollom,45,38,43,82,96,59,65,74,35,41
12346,Michele Hileman,89,51,31,99,95,69,35,42,94,79
11535,Jenni Palos,77,45,42,70,75,70,63,48,42,39
28988,Khadijah Feuerstein,60,39,90,61,79,71,94,52,75,70
30221,Winford Delaney,30,68,38,77,40,88,72,96,80,35
26731,Kristine Sasaki,95,60,97,70,56,83,94,40,87,99
8296,Dann Alcantara,97,90,91,39,64,89,64,48,72,34
23677,Stacee Wilbanks,83,45,73,61,97,60,75,75,45,58
26686,Hassan Bergevin,74,44,59,63,39,45,40,57,64,83
30555,Eileen Maye,88,70,48,86,30,53,83,62,62,62
24923,Valene Speece,46,76,82,96,94,86,64,65,41,83
25488,Asha Vibbert,41,46,76,79,30,79,48,38,45,69
30424,Buddy Kampen,88,57,32,43,41,59,51,92,83,96
12948,Milford Salone,92,98,83,81,42,50,54,92,98,72
8292,Kiera Kai,34,59,32,39,51,53,33,43,54,47
8323,Yon Covey,51,88,54,94,80,74,34,44,48,99
26916,Tawny Tocci,88,53,78,96,48,67,98,84,52,71
12648,Veola Branch,76,52,73,41,31,38,97,88,70,72
5606,Lesa Channel,80,76,94,57,48,69,79,87,83,53
8468,Stacia Hubble,48,70,78,60,54,35,66,45,69,95
20440,Roseline Gildea,99,42,32,51,69,73,96,47,60,59
9123,Cherilyn Justice,82,73,32,32,91,48,58,35,64,87
32034,Gerri Niswander,63,34,32,62,70,83,92,52,55,32
7669,Val Dickerman,39,77,81,55,97,30,35,91,66,93
25495,Syreeta Kossman,34,88,35,58,52,43,47,86,64,60
25768,Tamisha Fernando,30,79,97,48,37,32,42,55,37,34
7995,Angelo Cavins,72,63,54,50,66,51,58,99,73,51
5431,Ashlie Benson,80,99,44,56,41,61,78,34,68,67
24202,Jama Stockdale,55,77,32,57,78,93,32,78,40,85
23744,Shakia Dunkerson,92,45,71,33,31,77,95,58,65,87
16965,Tempie Mcneely,95,98,97,34,80,90,81,76,32,66
21430,Rosemary Mathewson,92,38,77,48,38,73,64,96,94,40
11298,Rosie Guerra,31,36,98,85,38,59,30,38,39,32
29530,Mariann Bruggeman,92,82,33,59,73,43,42,96,63,82
8666,Stephenie Lepley,49,53,63,56,83,68,52,94,69,92
12693,Earleen Decelles,75,97,91,36,95,82,52,76,94,56
20454,Kristen Hanson,99,45,95,44,79,30,51,84,97,76
18409,Svetlana Lauritzen,88,87,74,51,81,75,61,86,45,63
3332,Despina Gendron,70,36,36,68,66,47,59,74,87,88
26694,Susann Bitton,78,54,48,60,69,89,51,72,84,94
22571,Lieselotte Mclemore,39,38,33,62,73,30,77,44,37,41
6592,Porter French,99,75,88,37,41,64,33,54,53,88
23066,Lonnie Vasser,32,39,49,32,50,35,72,65,72,78
5427,Rachael Conyer,93,96,97,64,33,74,58,97,72,81
21753,Clarence Brodsky,70,55,73,72,62,78,86,68,60,71
27232,Leif Dorgan,62,36,94,42,70,79,71,72,71,69
15709,Arlean Scheck,93,81,92,39,76,60,59,96,55,45
30776,Wayne Corker,58,68,94,59,78,73,94,78,34,47
